Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
286,"Vandenberg,SLC‑4E",Starlink:Group 7-9(22 satellites),"~16,800 kg",LEO,SpaceX,Success,F9B5,Success (,"January 3, 2024",03:44
287,"Cape Canaveral,SLC‑40",Ovzon-3,"1,800 kg",GTO,Ovzon,Success,F9B5,Success (,"January 3, 2024",23:04
288,"Cape Canaveral,SLC‑40",Starlink:Group 6-35(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"January 7, 2024",22:35
289,"Vandenberg,SLC‑4E",Starlink:Group 7-10(22satellites),"~16,700 kg",LEO,SpaceX,Success,F9B5,Success (,"January 14, 2024",08:59
290,"Cape Canaveral,SLC‑40",Starlink:Group 6-37(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"January 15, 2024",01:52
291,"Kennedy,LC‑39A",Ax-3(Crew Dragon C212-3Freedom),"~13,000 kg",LEO(ISS),Axiom Space,Success,F9B5,Success (,"January 18, 2024",21:49
292,"Vandenberg,SLC‑4E",Starlink:Group 7-11(22satellites),"~16,700 kg",LEO,SpaceX,Success,F9B5,Success (,"January 24, 2024",00:35
293,"Kennedy,LC‑39A",Starlink:Group 6-38(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"January 29, 2024",01:10
294,"Vandenberg,SLC‑4E",Starlink:Group 7-12(22satellites),"~16,700 kg",LEO,SpaceX,Success,F9B5,Success (,"January 29, 2024",05:57
295,"Cape Canaveral,SLC‑40","CRS NG-20 (S.S. Patricia ""Patty"" Hilliard Robertson)","3,726 kg",LEO(ISS),Northrop Grumman(CRS),Success,F9B5,Success (,"January 30, 2024",17:07
296,"Cape Canaveral,SLC‑40",PACE,"1,694 kg",SSO,NASA(LSP),Success,F9B5,Success (,"February 8, 2024",06:33
297,"Vandenberg,SLC‑4E",Starlink:Group 7-13(22satellites),"~16,700 kg",LEO,SpaceX,Success,F9B5,Success (,"February 10, 2024",00:34
298,"Cape Canaveral,SLC‑40",USSF-124 (6satellites),U,LEO,USSF/SDA,Success,F9B5,Success (,"February 14, 2024",22:30
299,"Kennedy,LC‑39A",IM-1Nova-COdysseuslander,"1,931 kg",TLI,NASA(CLPS) /Intuitive Machines,Success,F9B5,Success (,"February 15, 2024",06:05
300,"Vandenberg,SLC‑4E",Starlink:Group 7-14(22satellites),"~16,700 kg",LEO,SpaceX,Success,F9B5,Success (,"February 15, 2024",21:34
301,"Cape Canaveral,SLC‑40",Telkomsat HTS 113BT,"4,000 kg",GTO,Telkom Indonesia,Success,F9B5,Success (,"February 20, 2024",20:11
302,"Vandenberg,SLC‑4E",Starlink:Group 7-15(22satellites),"~16,700 kg",LEO,SpaceX,Success,F9B5,Success (,"February 23, 2024",04:11
303,"Cape Canaveral,SLC‑40",Starlink:Group 6-39(24satellites),"~17,500 kg",LEO,SpaceX,Success,F9B5,Success (,"February 25, 2024",22:06
304,"Cape Canaveral,SLC‑40",Starlink:Group 6-40(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"February 29, 2024",15:30
305,"Kennedy,LC‑39A",Crew-8(Crew Dragon C206-5Endeavour),"~13,000 kg",LEO(ISS),NASA(CTS),Success,F9B5,Success (,"March 4, 2024",03:53
306,"Vandenberg,SLC‑4E",Transporter-10(53 payload smallsat rideshare),U,SSO,Various,Success,F9B5,Success (,"March 4, 2024",22:05
307,"Cape Canaveral,SLC‑40",Starlink:Group 6-41(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"March 4, 2024",23:56
308,"Cape Canaveral,SLC‑40",Starlink:Group 6-43(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"March 10, 2024",23:05
309,"Vandenberg,SLC‑4E",Starlink:Group 7-17(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"March 11, 2024",04:09
310,"Kennedy,LC‑39A",Starlink:Group 6-44(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"March 16, 2024",00:21
311,"Vandenberg,SLC‑4E",Starlink:Group 7-16(20satellites) + 2Starshieldsatellites,"~16,300 kg",LEO,SpaceX,Success,F9B5,Success (,"March 19, 2024",02:28
312,"Cape Canaveral,SLC‑40",SpaceX CRS-30(Dragon C209-4),"2,721 kg",LEO(ISS),NASA(CRS),Success,F9B5,Success (,"March 21, 2024",20:55
313,"Kennedy,LC‑39A",Starlink:Group 6-42(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"March 24, 2024",03:09
314,"Cape Canaveral,SLC‑40",Starlink:Group 6-46(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"March 25, 2024",23:42
315,"Kennedy,LC‑39A",Eutelsat 36D,"5,000 kg",GTO,Eutelsat,Success,F9B5,Success (,"March 30, 2024",21:52
316,"Cape Canaveral,SLC‑40",Starlink:Group 6-45(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"March 31, 2024",01:30
317,"Vandenberg,SLC‑4E",Starlink:Group 7-18(22satellites),"~16,700 kg",LEO,SpaceX,Success,F9B5,Success (,"April 2, 2024",02:30
318,"Cape Canaveral,SLC‑40",Starlink:Group 6-47(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"April 5, 2024",09:12
319,"Vandenberg,SLC‑4E",Starlink:Group 8-1(21satellites),"~16,800 kg",LEO,SpaceX,Success,F9B5,Success (,"April 7, 2024",02:25
320,"Kennedy,LC‑39A",Bandwagon-1(11 payload smallsat rideshare)425 Project Flight 2,U,LEO,VariousRepublic of Korea Armed Forces,Success,F9B5,Success (,"April 7, 2024",23:16
321,"Cape Canaveral,SLC‑40",Starlink:Group 6-48(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"April 10, 2024",05:40
322,"Vandenberg,SLC‑4E",USSF-62 (WSF-M 1),"1,200 kg",SSO,USSF,Success,F9B5,Success (,"April 11, 2024",14:25
323,"Cape Canaveral,SLC‑40",Starlink:Group 6-49(23satellites),"~17,100 kg",LEO,SpaceX,Success,F9B5,Success (,"April 13, 2024",01:40
